locus_tag	ftype	length_bp	gene	EC_number	COG	product
DIFIKDCD_00050	CDS	291	rpsF		COG0360	Small ribosomal subunit protein bS6
DIFIKDCD_00051	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
DIFIKDCD_00052	CDS	354				hypothetical protein
DIFIKDCD_00053	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
DIFIKDCD_00054	CDS	432				hypothetical protein
DIFIKDCD_00055	CDS	549				hypothetical protein
DIFIKDCD_00056	CDS	729	yaaA		COG3022	DNA-binding and peroxide stress resistance protein YaaA
DIFIKDCD_00057	CDS	165				hypothetical protein
DIFIKDCD_00058	CDS	1596				hypothetical protein
DIFIKDCD_00059	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
DIFIKDCD_00060	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
DIFIKDCD_00061	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
DIFIKDCD_00062	CDS	1185	fieF			Cation-efflux pump FieF
DIFIKDCD_00063	CDS	1872	ettA	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
DIFIKDCD_00064	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
DIFIKDCD_00065	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
DIFIKDCD_00066	CDS	849			COG1307	DegV domain-containing protein
DIFIKDCD_00067	CDS	375				hypothetical protein
DIFIKDCD_00068	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
DIFIKDCD_00069	CDS	780				hypothetical protein
DIFIKDCD_00070	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
DIFIKDCD_00071	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
DIFIKDCD_00072	CDS	912	whiA		COG1481	putative cell division protein WhiA
DIFIKDCD_00073	CDS	978			COG0391	Putative gluconeogenesis factor
DIFIKDCD_00074	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
DIFIKDCD_00075	CDS	381	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DIFIKDCD_00076	CDS	588	engB		COG0218	putative GTP-binding protein EngB
DIFIKDCD_00077	CDS	1233	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
DIFIKDCD_00078	CDS	171				hypothetical protein
DIFIKDCD_00079	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
DIFIKDCD_00080	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
DIFIKDCD_00081	CDS	1506				hypothetical protein
DIFIKDCD_00082	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
DIFIKDCD_00083	CDS	678	dnaD		COG3935	Replicative helicase loading/DNA remodeling protein DnaD
DIFIKDCD_00084	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
DIFIKDCD_00085	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
DIFIKDCD_00086	CDS	759	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
DIFIKDCD_00087	CDS	1131	msmX	7.5.2.-	COG3842	Oligosaccharides import ATP-binding protein MsmX
DIFIKDCD_00088	tRNA	88				tRNA-Leu(aag)
DIFIKDCD_00089	CDS	576	trtA	3.5.1.-		Triuret hydrolase TrtA
DIFIKDCD_00090	CDS	789	codY		COG4465	Global transcriptional regulator CodY
DIFIKDCD_00091	CDS	1230	arcA	3.5.3.6	COG2235	Arginine deiminase
DIFIKDCD_00092	CDS	1017	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
DIFIKDCD_00093	CDS	948	arcC1	2.7.2.2	COG0549	Carbamate kinase 1
DIFIKDCD_00094	CDS	1512				hypothetical protein
DIFIKDCD_00095	CDS	1332		3.4.13.-		Putative dipeptidase
DIFIKDCD_00096	CDS	291	iga_1	3.4.24.13	COG0810	Immunoglobulin A1 protease
DIFIKDCD_00097	CDS	900	qmcA		COG0330	Protein QmcA
DIFIKDCD_00098	CDS	1152	adhB	1.1.1.1	COG1454	Alcohol dehydrogenase 2
DIFIKDCD_00099	CDS	1767	fucI	5.3.1.25	COG2407	L-fucose isomerase
DIFIKDCD_00100	CDS	1134				hypothetical protein
DIFIKDCD_00101	CDS	1947	eabC	3.2.1.102		Blood-group-substance endo-1,4-beta-galactosidase
DIFIKDCD_00102	CDS	2295				hypothetical protein
DIFIKDCD_00103	CDS	801	manZ_1		COG3716	PTS system mannose-specific EIID component
DIFIKDCD_00104	CDS	774	sorC_1		COG3715	PTS system sorbose-specific EIIC component
DIFIKDCD_00105	CDS	471	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
DIFIKDCD_00106	CDS	444	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
DIFIKDCD_00107	CDS	441	fucU	5.1.3.29	COG4154	L-fucose mutarotase
DIFIKDCD_00108	CDS	639	drdA	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
DIFIKDCD_00109	CDS	1404	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
DIFIKDCD_00110	CDS	774	srlR		COG1349	Glucitol operon repressor
DIFIKDCD_00111	CDS	1506	adcA_1		COG0803	Zinc-binding lipoprotein AdcA
DIFIKDCD_00112	CDS	807	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
DIFIKDCD_00113	CDS	705	znuC	7.2.2.20	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
DIFIKDCD_00114	CDS	441	adcR		COG1846	Transcriptional regulator AdcR
DIFIKDCD_00115	CDS	1269	dltD		COG3966	Protein DltD
DIFIKDCD_00116	CDS	240	dltC		COG0236	D-alanyl carrier protein
DIFIKDCD_00117	CDS	1245	dltB	2.3.1.-	COG1696	Teichoic acid D-alanyltransferase
DIFIKDCD_00118	CDS	1551	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
DIFIKDCD_00119	CDS	1179				hypothetical protein
DIFIKDCD_00120	CDS	1278				hypothetical protein
DIFIKDCD_00121	CDS	198				hypothetical protein
DIFIKDCD_00122	CDS	345				hypothetical protein
DIFIKDCD_00123	CDS	261				hypothetical protein
DIFIKDCD_00124	CDS	705	glpF		COG0580	putative glycerol uptake facilitator protein
DIFIKDCD_00125	CDS	1827	glpO	1.1.3.21		Alpha-glycerophosphate oxidase
DIFIKDCD_00126	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
DIFIKDCD_00127	CDS	1410				hypothetical protein
DIFIKDCD_00128	CDS	873	hslO			33 kDa chaperonin
DIFIKDCD_00129	CDS	981	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
DIFIKDCD_00130	CDS	2178				hypothetical protein
DIFIKDCD_00131	CDS	528				hypothetical protein
DIFIKDCD_00132	CDS	1341	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
DIFIKDCD_00133	CDS	654			COG0745	Response regulator RR06
DIFIKDCD_00134	CDS	2433	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
DIFIKDCD_00135	CDS	459	ctsR		COG4463	Transcriptional regulator CtsR
DIFIKDCD_00136	CDS	729	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
DIFIKDCD_00137	CDS	1008	thiY		COG0715	Formylaminopyrimidine-binding protein
DIFIKDCD_00138	CDS	759	ribX		COG0600	Riboflavin transport system permease protein RibX
DIFIKDCD_00139	CDS	291				hypothetical protein
DIFIKDCD_00140	CDS	1347				hypothetical protein
DIFIKDCD_00141	CDS	267				hypothetical protein
DIFIKDCD_00142	CDS	1353	dnaC	5.6.2.3	COG0305	Replicative DNA helicase DnaC
DIFIKDCD_00143	CDS	453	rplI			Large ribosomal subunit protein bL9
DIFIKDCD_00144	CDS	1974	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
DIFIKDCD_00145	CDS	549	hpf			Ribosome hibernation promotion factor
DIFIKDCD_00146	CDS	663	comFC		COG1040	Competence protein ComFC
DIFIKDCD_00147	CDS	1299	comFA	3.6.4.-	COG4098	Competence protein ComFA
DIFIKDCD_00148	CDS	636	yigZ		COG1739	IMPACT family member YigZ
DIFIKDCD_00149	CDS	921	cysK	2.5.1.47		Cysteine synthase
DIFIKDCD_00150	CDS	399				hypothetical protein
DIFIKDCD_00151	CDS	288				hypothetical protein
DIFIKDCD_00152	CDS	1041	tsf		COG0264	Elongation factor Ts
DIFIKDCD_00153	CDS	780	rpsB			Small ribosomal subunit protein uS2
DIFIKDCD_00154	CDS	1179	pcsB	3.2.1.-	COG3883	Peptidoglycan hydrolase PcsB
DIFIKDCD_00155	CDS	495	mreD		COG2891	Cell shape-determining protein MreD
DIFIKDCD_00156	CDS	819	mreC		COG1792	Cell shape-determining protein MreC
DIFIKDCD_00157	CDS	795	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
DIFIKDCD_00158	CDS	840	ecfA2	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
DIFIKDCD_00159	CDS	828	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
DIFIKDCD_00160	CDS	546	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
DIFIKDCD_00161	CDS	822	rodZ		COG1426	Cytoskeleton protein RodZ
DIFIKDCD_00162	CDS	1284				hypothetical protein
DIFIKDCD_00163	CDS	1251				hypothetical protein
DIFIKDCD_00164	CDS	369				hypothetical protein
DIFIKDCD_00165	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
DIFIKDCD_00166	CDS	1479	guaB	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
DIFIKDCD_00167	CDS	1026	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
DIFIKDCD_00168	CDS	1260	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
DIFIKDCD_00169	CDS	1749		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
DIFIKDCD_00170	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
DIFIKDCD_00171	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
DIFIKDCD_00172	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
DIFIKDCD_00173	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
DIFIKDCD_00174	CDS	738	mecA		COG4862	Adapter protein MecA
DIFIKDCD_00175	CDS	1035				hypothetical protein
DIFIKDCD_00176	CDS	1434				hypothetical protein
DIFIKDCD_00177	CDS	987	glyG		COG1215	Glycosyltransferase GlyG
DIFIKDCD_00178	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
DIFIKDCD_00179	CDS	837				hypothetical protein
DIFIKDCD_00180	CDS	1275	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
DIFIKDCD_00181	CDS	849	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
DIFIKDCD_00182	CDS	477	aroL	2.7.1.71		Shikimate kinase 2
DIFIKDCD_00183	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
DIFIKDCD_00184	CDS	339				hypothetical protein
DIFIKDCD_00185	CDS	1104				hypothetical protein
DIFIKDCD_00186	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
DIFIKDCD_00187	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DIFIKDCD_00188	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
DIFIKDCD_00189	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
DIFIKDCD_00190	CDS	1164	rlmI	2.1.1.191		Ribosomal RNA large subunit methyltransferase I
DIFIKDCD_00191	CDS	1635				hypothetical protein
DIFIKDCD_00192	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
DIFIKDCD_00193	CDS	1455	amyS	3.2.1.1		Alpha-amylase
DIFIKDCD_00194	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
DIFIKDCD_00195	CDS	486				hypothetical protein
DIFIKDCD_00196	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
DIFIKDCD_00197	CDS	774	potC		COG1177	Spermidine/putrescine transport system permease protein PotC
DIFIKDCD_00198	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
DIFIKDCD_00199	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
DIFIKDCD_00200	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
DIFIKDCD_00201	CDS	510				hypothetical protein
DIFIKDCD_00202	CDS	207				hypothetical protein
DIFIKDCD_00203	CDS	672	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
DIFIKDCD_00204	CDS	1272	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
DIFIKDCD_00205	CDS	816	glnH_1		COG0834	Glutamine-binding periplasmic protein
DIFIKDCD_00206	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
DIFIKDCD_00207	CDS	759	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
DIFIKDCD_00208	CDS	804	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
DIFIKDCD_00209	CDS	885				hypothetical protein
DIFIKDCD_00210	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
DIFIKDCD_00211	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
DIFIKDCD_00212	CDS	114				hypothetical protein
DIFIKDCD_00213	CDS	1305	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
DIFIKDCD_00214	CDS	774	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
DIFIKDCD_00215	CDS	279				hypothetical protein
DIFIKDCD_00216	CDS	402	spx_1		COG1393	Global transcriptional regulator Spx
DIFIKDCD_00217	CDS	618				hypothetical protein
DIFIKDCD_00218	CDS	774	yutF	3.1.3.5	COG0647	5'-nucleotidase YutF
DIFIKDCD_00219	CDS	738				hypothetical protein
DIFIKDCD_00220	CDS	1131	hemW		COG0635	Heme chaperone HemW
DIFIKDCD_00221	CDS	390				hypothetical protein
DIFIKDCD_00222	CDS	384				hypothetical protein
DIFIKDCD_00223	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
DIFIKDCD_00224	CDS	936	hprK	2.7.11.-		HPr kinase/phosphorylase
DIFIKDCD_00225	CDS	177	rpsU		COG0828	Small ribosomal subunit protein bS21
DIFIKDCD_00226	CDS	510				hypothetical protein
DIFIKDCD_00227	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
DIFIKDCD_00228	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DIFIKDCD_00229	CDS	372				hypothetical protein
DIFIKDCD_00230	CDS	102				hypothetical protein
DIFIKDCD_00231	CDS	552				hypothetical protein
DIFIKDCD_00232	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
DIFIKDCD_00233	CDS	1461	pncB2	6.3.4.21		Nicotinate phosphoribosyltransferase pncB2
DIFIKDCD_00234	CDS	489				hypothetical protein
DIFIKDCD_00235	CDS	210				hypothetical protein
DIFIKDCD_00236	CDS	1680				hypothetical protein
DIFIKDCD_00237	CDS	2085				hypothetical protein
DIFIKDCD_00238	CDS	1281				hypothetical protein
DIFIKDCD_00239	CDS	2646	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
DIFIKDCD_00240	CDS	882	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
DIFIKDCD_00241	CDS	1881				hypothetical protein
DIFIKDCD_00242	CDS	138				hypothetical protein
DIFIKDCD_00243	CDS	393			COG3039	IS5 family transposase ISSpn7
DIFIKDCD_00244	CDS	435				hypothetical protein
DIFIKDCD_00245	CDS	183				hypothetical protein
DIFIKDCD_00246	CDS	1866				hypothetical protein
DIFIKDCD_00247	CDS	150	rpmGA			Large ribosomal subunit protein bL33A
DIFIKDCD_00248	CDS	183	rpmF		COG0333	Large ribosomal subunit protein bL32
DIFIKDCD_00249	CDS	201				hypothetical protein
DIFIKDCD_00250	CDS	1008				hypothetical protein
DIFIKDCD_00251	CDS	2031				hypothetical protein
DIFIKDCD_00252	CDS	285				hypothetical protein
DIFIKDCD_00253	CDS	1347	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
DIFIKDCD_00254	CDS	858	sqwG	2.2.1.15	COG3959	6-deoxy-6-sulfo-D-fructose transketolase subunit SqwG
DIFIKDCD_00255	CDS	933	sqwH	2.2.1.15	COG3958	6-deoxy-6-sulfo-D-fructose transketolase subunit SqwH
DIFIKDCD_00256	CDS	1704	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
DIFIKDCD_00257	CDS	342				hypothetical protein
DIFIKDCD_00258	CDS	852				hypothetical protein
DIFIKDCD_00259	CDS	1230				hypothetical protein
DIFIKDCD_00260	CDS	1290	hisS	6.1.1.21		Histidine--tRNA ligase
DIFIKDCD_00261	CDS	315				hypothetical protein
DIFIKDCD_00262	CDS	216				hypothetical protein
DIFIKDCD_00263	CDS	198				hypothetical protein
DIFIKDCD_00264	CDS	735				hypothetical protein
DIFIKDCD_00265	CDS	642				hypothetical protein
DIFIKDCD_00266	CDS	231				hypothetical protein
DIFIKDCD_00267	CDS	192				hypothetical protein
DIFIKDCD_00268	CDS	1764	aspS	6.1.1.12		Aspartate--tRNA ligase
DIFIKDCD_00269	CDS	942				hypothetical protein
DIFIKDCD_00270	CDS	987	malR		COG1609	HTH-type transcriptional regulator MalR
DIFIKDCD_00271	CDS	801				hypothetical protein
DIFIKDCD_00272	CDS	1167	xerC_1			Tyrosine recombinase XerC
DIFIKDCD_00273	CDS	975				hypothetical protein
DIFIKDCD_00274	CDS	669				hypothetical protein
DIFIKDCD_00275	CDS	540				hypothetical protein
DIFIKDCD_00276	CDS	270				hypothetical protein
DIFIKDCD_00277	CDS	522				hypothetical protein
DIFIKDCD_00278	CDS	198				hypothetical protein
DIFIKDCD_00279	CDS	603				hypothetical protein
DIFIKDCD_00280	CDS	261				hypothetical protein
DIFIKDCD_00281	CDS	201				hypothetical protein
DIFIKDCD_00282	CDS	216				hypothetical protein
DIFIKDCD_00283	CDS	252				hypothetical protein
DIFIKDCD_00284	CDS	282				hypothetical protein
DIFIKDCD_00285	CDS	861				hypothetical protein
DIFIKDCD_00286	CDS	288				hypothetical protein
DIFIKDCD_00287	CDS	537				hypothetical protein
DIFIKDCD_00288	CDS	156				hypothetical protein
DIFIKDCD_00289	CDS	222				hypothetical protein
DIFIKDCD_00290	CDS	351				hypothetical protein
DIFIKDCD_00291	CDS	852				hypothetical protein
DIFIKDCD_00292	CDS	552				hypothetical protein
DIFIKDCD_00293	CDS	411				hypothetical protein
DIFIKDCD_00294	CDS	108				hypothetical protein
DIFIKDCD_00295	CDS	843	ganQ		COG3833	Galactooligosaccharides transport system permease protein GanQ
DIFIKDCD_00296	CDS	1293	ganP		COG1175	Galactooligosaccharides transport system permease protein GanP
DIFIKDCD_00297	CDS	1272	malX		COG2182	Maltooligosaccharide ABC transporter solute-binding lipoprotein
DIFIKDCD_00298	CDS	1518	malQ	2.4.1.25		4-alpha-glucanotransferase
DIFIKDCD_00299	CDS	2259	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
DIFIKDCD_00300	CDS	405				hypothetical protein
DIFIKDCD_00301	CDS	330				IS630 family transposase IS630-Spn1
DIFIKDCD_00302	CDS	1764				hypothetical protein
DIFIKDCD_00303	CDS	591	dinG_1	3.1.-.-		3'-5' exonuclease DinG
DIFIKDCD_00304	CDS	492	rocS			Regulator of chromosome segregation
DIFIKDCD_00305	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
DIFIKDCD_00306	CDS	315	macP			Penicillin-binding protein 2a activator MacP
DIFIKDCD_00307	CDS	546	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
DIFIKDCD_00308	CDS	1380	glmU		COG1207	Bifunctional protein GlmU
DIFIKDCD_00309	CDS	801				hypothetical protein
DIFIKDCD_00310	CDS	843				hypothetical protein
DIFIKDCD_00311	CDS	483				hypothetical protein
DIFIKDCD_00312	CDS	621	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
DIFIKDCD_00313	CDS	135				hypothetical protein
DIFIKDCD_00314	CDS	342				IS3 family transposase ISSpn1
DIFIKDCD_00315	CDS	942	prsA	5.2.1.8		Foldase protein PrsA
DIFIKDCD_00316	CDS	714	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
DIFIKDCD_00317	CDS	1812	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
DIFIKDCD_00318	CDS	954				hypothetical protein
DIFIKDCD_00319	CDS	861	tehB	2.1.1.-	COG0500	putative S-adenosyl-L-methionine-dependent methyltransferase TehB
DIFIKDCD_00320	CDS	468	smpB		COG0691	SsrA-binding protein
DIFIKDCD_00321	CDS	2355	rnr	3.1.13.1	COG0557	Ribonuclease R
DIFIKDCD_00322	CDS	234	secG		COG1314	putative protein-export membrane protein SecG
DIFIKDCD_00323	CDS	1200	sbnD		COG2814	Staphyloferrin B transporter
DIFIKDCD_00324	CDS	606	coaE	2.7.1.24		Dephospho-CoA kinase
DIFIKDCD_00325	CDS	858	mutM	3.2.2.23		Formamidopyrimidine-DNA glycosylase
DIFIKDCD_00326	CDS	900	era		COG1159	GTPase Era
DIFIKDCD_00327	CDS	396	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
DIFIKDCD_00328	CDS	498	ybeY	3.1.-.-		Endoribonuclease YbeY
DIFIKDCD_00329	CDS	1656	rqcH		COG1293	Rqc2 RqcH
DIFIKDCD_00330	CDS	1977	lytB	3.2.1.96	COG4193	Putative endo-beta-N-acetylglucosaminidase
DIFIKDCD_00331	CDS	939	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
DIFIKDCD_00332	CDS	801	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
DIFIKDCD_00333	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
DIFIKDCD_00334	CDS	360	rplT		COG0292	Large ribosomal subunit protein bL20
DIFIKDCD_00335	CDS	201	rpmI		COG0291	Large ribosomal subunit protein bL35
DIFIKDCD_00336	CDS	588	infC		COG0290	Translation initiation factor IF-3
DIFIKDCD_00337	CDS	1182				hypothetical protein
DIFIKDCD_00338	CDS	588	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
DIFIKDCD_00339	CDS	2241	comEC		COG0658	ComE operon protein 3
DIFIKDCD_00340	CDS	651	comEA		COG1555	ComE operon protein 1
DIFIKDCD_00341	CDS	570		2.3.1.-		Acetyltransferase
DIFIKDCD_00342	CDS	426	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
DIFIKDCD_00343	CDS	276	ald_2	1.4.1.1	COG0686	Alanine dehydrogenase
DIFIKDCD_00344	CDS	228				hypothetical protein
DIFIKDCD_00345	CDS	501				hypothetical protein
