#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_236478_cov_33.405658:113635-114534|- -            300 984717at2            -            224   2.9e-68  227.0  14.3   1   1     6e-67   1.1e-64  215.3  14.3     1   220     8   287     8   294 0.79 NODE_6_length_236478_cov_33.405658_115 # 113635 # 114534 # -1 # ID=6_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_12_length_78488_cov_33.302509:9117-12557|+    -           1147 984717at2            -            224     7e-10   36.1   6.4   3   4   3.2e-05    0.0057   13.5   0.0     3    34   593   624   591   639 0.88 NODE_12_length_78488_cov_33.302509_10 # 9117 # 12557 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_12_length_78488_cov_33.302509:9117-12557|+    -           1147 984717at2            -            224     7e-10   36.1   6.4   4   4      0.74   1.3e+02   -0.8   0.3    80   140   789   849   740   884 0.64 NODE_12_length_78488_cov_33.302509_10 # 9117 # 12557 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_6_length_236478_cov_33.405658:140097-141197|- -            367 984717at2            -            224   1.3e-09   35.2   0.9   1   2      0.79   1.4e+02   -0.9   0.1    85   107    90   113    71   120 0.74 NODE_6_length_236478_cov_33.405658_145 # 140097 # 141197 # -1 # ID=6_145;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.342
NODE_6_length_236478_cov_33.405658:140097-141197|- -            367 984717at2            -            224   1.3e-09   35.2   0.9   2   2   1.6e-11     3e-09   34.0   0.1     2    78   163   240   162   270 0.65 NODE_6_length_236478_cov_33.405658_145 # 140097 # 141197 # -1 # ID=6_145;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.342
NODE_5_length_256676_cov_32.527157:85500-87617|+   -            706 984717at2            -            224   1.1e-05   22.3   0.7   1   1   1.4e-07   2.5e-05   21.1   0.7     2   104   212   321   211   340 0.74 NODE_5_length_256676_cov_32.527157_74 # 85500 # 87617 # 1 # ID=5_74;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.341
NODE_5_length_256676_cov_32.527157:128777-130015|+ -            413 984717at2            -            224   1.5e-05   21.9   0.3   1   2     0.093        17    2.1   0.1    60   117    70   125    65   131 0.80 NODE_5_length_256676_cov_32.527157_110 # 128777 # 130015 # 1 # ID=5_110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NODE_5_length_256676_cov_32.527157:128777-130015|+ -            413 984717at2            -            224   1.5e-05   21.9   0.3   2   2     2e-06   0.00036   17.4   0.0     2   104   208   316   207   333 0.75 NODE_5_length_256676_cov_32.527157_110 # 128777 # 130015 # 1 # ID=5_110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NODE_6_length_236478_cov_33.405658:187414-188706|- -            431 984717at2            -            224   2.1e-05   21.4   0.0   1   2   9.1e-07   0.00016   18.5   0.0     2    62   161   222   160   263 0.75 NODE_6_length_236478_cov_33.405658_190 # 187414 # 188706 # -1 # ID=6_190;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_6_length_236478_cov_33.405658:187414-188706|- -            431 984717at2            -            224   2.1e-05   21.4   0.0   2   2      0.26        47    0.6   0.0    83   105   266   288   251   317 0.81 NODE_6_length_236478_cov_33.405658_190 # 187414 # 188706 # -1 # ID=6_190;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_2_length_414913_cov_41.567711:318438-319535|+ -            366 984717at2            -            224    0.0012   15.7   0.1   1   3   6.5e-06    0.0012   15.7   0.1     3    21     6    24     4    44 0.89 NODE_2_length_414913_cov_41.567711_270 # 318438 # 319535 # 1 # ID=2_270;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_2_length_414913_cov_41.567711:318438-319535|+ -            366 984717at2            -            224    0.0012   15.7   0.1   2   3      0.97   1.7e+02   -1.2   0.1    70   107    94   125    70   171 0.63 NODE_2_length_414913_cov_41.567711_270 # 318438 # 319535 # 1 # ID=2_270;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_2_length_414913_cov_41.567711:318438-319535|+ -            366 984717at2            -            224    0.0012   15.7   0.1   3   3         2   3.5e+02   -2.2   0.1   144   165   224   245   197   262 0.53 NODE_2_length_414913_cov_41.567711_270 # 318438 # 319535 # 1 # ID=2_270;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_1_length_477897_cov_41.704631:253559-254989|- -            477 984717at2            -            224    0.0013   15.5   0.5   1   2   1.6e-05    0.0029   14.4   0.0     3    57     5    57     3   117 0.72 NODE_1_length_477897_cov_41.704631_234 # 253559 # 254989 # -1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_1_length_477897_cov_41.704631:253559-254989|- -            477 984717at2            -            224    0.0013   15.5   0.5   2   2       1.6   2.8e+02   -1.9   0.1    76   109   201   231   180   256 0.65 NODE_1_length_477897_cov_41.704631_234 # 253559 # 254989 # -1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_2_length_414913_cov_41.567711:303767-304609|+ -            281 984717at2            -            224    0.0064   13.3   0.6   1   1   9.3e-05     0.017   11.9   0.6     2    23    34    55    33    57 0.93 NODE_2_length_414913_cov_41.567711_258 # 303767 # 304609 # 1 # ID=2_258;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
NODE_9_length_101871_cov_38.044806:16673-18601|-   -            643 984717at2            -            224     0.016   12.0   4.3   1   3    0.0048      0.87    6.3   0.1     2    21    32    51    31    53 0.87 NODE_9_length_101871_cov_38.044806_15 # 16673 # 18601 # -1 # ID=9_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.321
NODE_9_length_101871_cov_38.044806:16673-18601|-   -            643 984717at2            -            224     0.016   12.0   4.3   2   3    0.0052      0.93    6.2   0.2     2    23   358   379   357   386 0.88 NODE_9_length_101871_cov_38.044806_15 # 16673 # 18601 # -1 # ID=9_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.321
NODE_9_length_101871_cov_38.044806:16673-18601|-   -            643 984717at2            -            224     0.016   12.0   4.3   3   3       2.1   3.8e+02   -2.3   0.0    39    91   458   511   451   518 0.72 NODE_9_length_101871_cov_38.044806_15 # 16673 # 18601 # -1 # ID=9_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.321
NODE_4_length_276630_cov_35.000752:128003-128644|- -            214 984717at2            -            224     0.017   11.9   0.5   1   2   0.00037     0.066   10.0   0.0     3    21    31    49    29    53 0.91 NODE_4_length_276630_cov_35.000752_122 # 128003 # 128644 # -1 # ID=4_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.279
NODE_4_length_276630_cov_35.000752:128003-128644|- -            214 984717at2            -            224     0.017   11.9   0.5   2   2      0.48        87   -0.2   0.1    36    83   142   189   122   212 0.52 NODE_4_length_276630_cov_35.000752_122 # 128003 # 128644 # -1 # ID=4_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.279
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /workspaces/project_bioinformatic_01/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /workspaces/project_bioinformatic_01/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /workspaces/project_bioinformatic_01/busco_output/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /workspaces/project_bioinformatic_01/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /workspaces/project_bioinformatic_01/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /workspaces/project_bioinformatic_01
# Date:            Tue Mar 31 14:58:33 2026
# [ok]
