# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
384865at2	Complete	NODE_65_length_9375_cov_31.375973	5228	4104	-	138.7	188	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_18_length_38547_cov_53.442035	31707	32963	+	326.9	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_1_length_87477_cov_37.319256	17263	15857	-	567.5	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_51_length_13360_cov_29.597748	7174	8370	+	161.6	213	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_22_length_29277_cov_27.291355	4105	5151	+	410.6	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_31_length_21827_cov_34.030922	19924	21486	+	304.4	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_40_length_17814_cov_35.105219	14518	13256	-	217.7	234	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_30_length_23337_cov_34.338561	8329	9633	+	377.8	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_7_length_53653_cov_41.456862	11359	10424	-	243.7	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_12_length_43458_cov_33.654728	27277	25424	-	755.2	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_16_length_39429_cov_33.440054	25181	27178	+	194.5	281	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_53_length_11572_cov_31.621319	5770	5099	-	271.1	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_1_length_87477_cov_37.319256	19748	18243	-	649.2	408	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_3_length_67049_cov_34.215385	39220	38315	-	144.5	197	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_12_length_43458_cov_33.654728	31895	30924	-	403.6	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_49_length_13974_cov_25.803640	9438	10460	+	444.5	315	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_13_length_42752_cov_36.722815	1084	2346	+	582.1	415	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_8_length_50138_cov_30.859471	43712	42429	-	76.0	240	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_7_length_53653_cov_41.456862	22706	21873	-	228.2	192	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_3_length_67049_cov_34.215385	21924	20758	-	255.3	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_5_length_58022_cov_31.473806	24397	23498	-	230.5	218	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_10_length_45740_cov_50.988381	19038	17779	-	248.9	221	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_16_length_39429_cov_33.440054	4808	5998	+	422.4	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_26_length_27121_cov_29.388049	13402	15246	+	271.5	330	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_5_length_58022_cov_31.473806	44889	44152	-	143.4	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_49_length_13974_cov_25.803640	11620	13167	+	579.0	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_42_length_16541_cov_31.304374	11891	10770	-	459.3	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_35_length_19242_cov_24.816636	9816	8932	-	144.6	182	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_46_length_14931_cov_25.654350	9660	11327	+	278.6	384	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_11_length_43941_cov_46.991806	17718	18884	+	364.9	263	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_62_length_10542_cov_33.476140	3435	4787	+	305.3	358	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_7_length_53653_cov_41.456862	21119	20466	-	202.1	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_32_length_21068_cov_42.846139	8759	7779	-	234.4	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_46_length_14931_cov_25.654350	3724	4602	+	115.9	121	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_13_length_42752_cov_36.722815	29276	29887	+	192.9	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_42_length_16541_cov_31.304374	3560	2550	-	244.6	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_1_length_87477_cov_37.319256	80543	79785	-	316.6	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_7_length_53653_cov_41.456862	24294	23668	-	183.3	162	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_32_length_21068_cov_42.846139	12296	11346	-	135.1	156	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Fragmented	NODE_15_length_41336_cov_35.854134	17740	18291	+	172.2	148	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_12_length_43458_cov_33.654728	28549	27290	-	112.8	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_7_length_53653_cov_41.456862	17043	16507	-	140.4	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_18_length_38547_cov_53.442035	22777	23793	+	246.3	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_7_length_53653_cov_41.456862	18747	18205	-	220.8	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_64_length_10487_cov_40.728571	379	879	+	90.8	105	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_39_length_17923_cov_37.882783	14415	15158	+	52.3	83	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_7_length_53653_cov_41.456862	13300	12662	-	129.3	130	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_16_length_39429_cov_33.440054	17101	17619	+	35.6	90	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_6_length_54752_cov_38.580741	10511	11137	+	260.2	186	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_14_length_41524_cov_31.922120	3360	2443	-	157.9	221	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_7_length_53653_cov_41.456862	16049	15555	-	217.5	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_12_length_43458_cov_33.654728	15877	15407	-	201.1	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_7_length_53653_cov_41.456862	14761	13451	-	302.2	299	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_7_length_53653_cov_41.456862	23643	23020	-	129.3	103	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_8_length_50138_cov_30.859471	15739	16161	+	117.6	138	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_17_length_39131_cov_34.862373	30302	31015	+	64.8	91	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_35_length_19242_cov_24.816636	8939	7701	-	446.6	381	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_65_length_9375_cov_31.375973	5763	5284	-	27.6	52	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_2_length_84815_cov_60.132049	71114	70335	-	262.0	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_10_length_45740_cov_50.988381	25312	24716	-	142.0	150	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_7_length_53653_cov_41.456862	21476	21132	-	111.0	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_26_length_27121_cov_29.388049	25078	25767	+	210.1	163	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_5_length_58022_cov_31.473806	44143	43586	-	149.8	136	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_47_length_14503_cov_75.816708	10075	9506	-	136.3	105	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_7_length_53653_cov_41.456862	17633	17235	-	196.0	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_17_length_39131_cov_34.862373	37889	37542	-	128.3	90	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_1_length_87477_cov_37.319256	18227	17349	-	156.2	146	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_26_length_27121_cov_29.388049	24446	24871	+	132.6	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_12_length_43458_cov_33.654728	16310	15897	-	169.0	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_7_length_53653_cov_41.456862	11785	11402	-	152.7	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_5_length_58022_cov_31.473806	17994	17527	-	204.2	143	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_40_length_17814_cov_35.105219	3278	2508	-	39.0	95	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_5_length_58022_cov_31.473806	32851	32264	-	89.3	95	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_33_length_20573_cov_40.296097	19794	19402	-	114.7	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_7_length_53653_cov_41.456862	12168	11803	-	139.1	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_1_length_87477_cov_37.319256	48822	48532	-	53.4	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_7_length_53653_cov_41.456862	20462	20049	-	155.3	106	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_7_length_53653_cov_41.456862	19522	19154	-	138.6	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_33_length_20573_cov_40.296097	20259	19813	-	154.9	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_64_length_10487_cov_40.728571	955	1323	+	83.3	85	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_11_length_43941_cov_46.991806	14348	14791	+	71.5	69	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_24_length_27353_cov_40.659002	20572	21111	+	84.6	88	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_5_length_58022_cov_31.473806	25287	24790	-	65.5	71	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_7_length_53653_cov_41.456862	10412	10026	-	107.5	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_34_length_19384_cov_62.008620	16696	17631	+	37.4	86	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_17_length_39131_cov_34.862373	24392	23469	-	161.4	176	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_24_length_27353_cov_40.659002	21101	21589	+	102.9	103	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_7_length_53653_cov_41.456862	15214	14774	-	76.6	87	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_15_length_41336_cov_35.854134	36633	35935	-	67.7	95	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_7_length_53653_cov_41.456862	21769	21488	-	140.3	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_14_length_41524_cov_31.922120	4606	4313	-	113.2	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_54_length_11475_cov_30.421836	6756	7280	+	49.0	62	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_5_length_58022_cov_31.473806	31979	31620	-	121.2	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_16_length_39429_cov_33.440054	15174	15446	+	115.8	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_1_length_87477_cov_37.319256	20299	19763	-	82.5	155	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_1_length_87477_cov_37.319256	48018	47779	-	88.5	52	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_14_length_41524_cov_31.922120	5297	4983	-	118.5	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_2_length_84815_cov_60.132049	61032	60580	-	70.1	82	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_7_length_53653_cov_41.456862	16423	16067	-	150.8	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_65_length_9375_cov_31.375973	437	87	-	113.1	112	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_7_length_53653_cov_41.456862	23020	22724	-	101.2	90	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_21_length_30540_cov_38.765824	17723	17992	+	98.7	66	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_6_length_54752_cov_38.580741	5518	5871	+	84.3	80	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_20_length_34569_cov_27.645636	23146	23382	+	68.1	61	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_7_length_53653_cov_41.456862	24819	24511	-	138.0	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_7_length_53653_cov_41.456862	19808	19548	-	92.5	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_7_length_53653_cov_41.456862	19076	18771	-	58.1	53	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_5_length_58022_cov_31.473806	32231	32031	-	30.1	34	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_7_length_53653_cov_41.456862	20039	19833	-	53.1	36	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_7_length_53653_cov_41.456862	12545	12327	-	88.6	57	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_7_length_53653_cov_41.456862	35524	35105	-	49.1	58	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
